time_s,OD_AU_per_cm
4.015957446808512941e+03,2.188722446723758708e-01
4.029255319148938725e+03,1.956704301576936977e-01
4.042553191489364508e+03,1.724686156430119688e-01
4.055851063829789382e+03,1.539071640312665856e-01
4.069148936170215165e+03,1.330255309680525855e-01
4.082446808510640949e+03,1.144640793563072023e-01
4.095744680851066732e+03,9.822280919602999205e-02
4.109042553191491606e+03,8.198153903575233770e-02
4.122340425531917390e+03,7.038063177841147322e-02
4.135638297872343173e+03,5.645954306960243585e-02
4.148936170212768957e+03,4.717881726372974427e-02
4.162234042553193831e+03,3.789809145785705269e-02
4.175531914893619614e+03,2.861736565198391702e-02
4.188829787234045398e+03,2.165682129757939833e-02
4.202127659574470272e+03,1.701645839464305254e-02
4.215425531914896055e+03,1.237609549170670675e-02
4.228723404255321839e+03,1.005591404023853386e-02
7.805851063829790291e+03,7.751882343658422769e-04
7.819148936170215165e+03,7.751882343658422769e-04
7.832446808510640039e+03,7.751882343658422769e-04
7.845744680851066732e+03,7.751882343658422769e-04
7.859042553191491606e+03,7.751882343658422769e-04
7.872340425531916480e+03,7.751882343658422769e-04
7.885638297872343173e+03,7.751882343658422769e-04
7.898936170212768047e+03,7.751882343658422769e-04
7.912234042553194740e+03,7.751882343658422769e-04
7.925531914893619614e+03,7.751882343658422769e-04
7.938829787234044488e+03,7.751882343658422769e-04
7.952127659574471181e+03,7.751882343658422769e-04
7.965425531914896055e+03,7.751882343658422769e-04
7.978723404255320929e+03,7.751882343658422769e-04
7.992021276595747622e+03,7.751882343658422769e-04
8.005319148936172496e+03,7.751882343658422769e-04
8.018617021276597370e+03,7.751882343658422769e-04
8.031914893617024063e+03,7.751882343658422769e-04
8.045212765957448937e+03,7.751882343658422769e-04
8.058510638297873811e+03,7.751882343658422769e-04
8.071808510638300504e+03,7.751882343658422769e-04
8.085106382978725378e+03,7.751882343658422769e-04
8.098404255319152071e+03,7.751882343658422769e-04
8.111702127659576945e+03,7.751882343658422769e-04
8.125000000000001819e+03,7.751882343658422769e-04
8.138297872340428512e+03,7.751882343658422769e-04
8.151595744680853386e+03,7.751882343658422769e-04
8.164893617021278260e+03,7.751882343658422769e-04
8.178191489361704953e+03,7.751882343658422769e-04
8.191489361702129827e+03,7.751882343658422769e-04
8.204787234042554701e+03,7.751882343658422769e-04
8.218085106382981394e+03,7.751882343658422769e-04
8.231382978723406268e+03,7.751882343658422769e-04
8.244680851063832961e+03,7.751882343658422769e-04
8.257978723404257835e+03,7.751882343658422769e-04
8.271276595744682709e+03,7.751882343658422769e-04
8.284574468085109402e+03,7.751882343658422769e-04
8.297872340425534276e+03,7.751882343658422769e-04
8.311170212765959150e+03,7.751882343658422769e-04
8.324468085106385843e+03,7.751882343658422769e-04
8.337765957446810717e+03,7.751882343658422769e-04
8.351063829787235591e+03,7.751882343658422769e-04
8.364361702127662284e+03,7.751882343658422769e-04
8.377659574468087158e+03,7.751882343658422769e-04
8.390957446808513851e+03,7.751882343658422769e-04
8.404255319148938725e+03,7.751882343658422769e-04
8.417553191489363599e+03,7.751882343658422769e-04
8.430851063829790291e+03,7.751882343658422769e-04
8.444148936170215165e+03,7.751882343658422769e-04
8.457446808510640039e+03,7.751882343658422769e-04
8.470744680851066732e+03,7.751882343658422769e-04
8.484042553191491606e+03,7.751882343658422769e-04
8.497340425531916480e+03,7.751882343658422769e-04
8.510638297872343173e+03,7.751882343658422769e-04
8.523936170212768047e+03,7.751882343658422769e-04
8.537234042553194740e+03,7.751882343658422769e-04
8.550531914893619614e+03,7.751882343658422769e-04
8.563829787234044488e+03,7.751882343658422769e-04
8.577127659574471181e+03,7.751882343658422769e-04
8.590425531914896055e+03,7.751882343658422769e-04
8.603723404255320929e+03,7.751882343658422769e-04
8.617021276595747622e+03,7.751882343658422769e-04
8.630319148936172496e+03,7.751882343658422769e-04
8.643617021276597370e+03,7.751882343658422769e-04
8.656914893617024063e+03,7.751882343658422769e-04
8.670212765957448937e+03,7.751882343658422769e-04
8.683510638297873811e+03,7.751882343658422769e-04
8.696808510638300504e+03,7.751882343658422769e-04
8.710106382978725378e+03,7.751882343658422769e-04
8.723404255319152071e+03,7.751882343658422769e-04
8.736702127659576945e+03,7.751882343658422769e-04
8.750000000000001819e+03,7.751882343658422769e-04
8.763297872340428512e+03,7.751882343658422769e-04
8.776595744680853386e+03,7.751882343658422769e-04
8.789893617021278260e+03,7.751882343658422769e-04
8.803191489361704953e+03,7.751882343658422769e-04
8.816489361702129827e+03,7.751882343658422769e-04
8.829787234042554701e+03,7.751882343658422769e-04
8.843085106382981394e+03,7.751882343658422769e-04
8.856382978723406268e+03,7.751882343658422769e-04
8.869680851063832961e+03,7.751882343658422769e-04
8.882978723404257835e+03,7.751882343658422769e-04
8.896276595744682709e+03,7.751882343658422769e-04
8.909574468085109402e+03,7.751882343658422769e-04
8.922872340425534276e+03,7.751882343658422769e-04
8.936170212765959150e+03,7.751882343658422769e-04
8.949468085106385843e+03,7.751882343658422769e-04
8.962765957446810717e+03,7.751882343658422769e-04
8.976063829787235591e+03,7.751882343658422769e-04
8.989361702127662284e+03,7.751882343658422769e-04
9.002659574468087158e+03,7.751882343658422769e-04
9.015957446808513851e+03,7.751882343658422769e-04
9.029255319148938725e+03,7.751882343658422769e-04
9.042553191489363599e+03,7.751882343658422769e-04
9.055851063829790291e+03,7.751882343658422769e-04
9.069148936170215165e+03,7.751882343658422769e-04
