xi,H_um
0.51761,9.4773
0.51819,9.4773
0.51877,9.4773
0.51934,9.4773
0.51992,9.4773
0.52050,9.4773
0.52108,9.4773
0.52165,9.4773
0.52223,9.4773
0.52281,9.4773
0.52339,9.4773
0.52396,9.4773
0.52454,9.4773
0.52512,9.4773
0.52570,9.4773
0.52627,9.4773
0.52685,9.4773
0.52743,9.4773
0.52801,9.4773
0.52858,9.4773
0.52916,9.4773
0.52974,9.4773
0.53032,9.4773
0.53089,9.4773
0.53147,9.4773
0.53205,9.4773
0.53263,9.4773
0.53320,9.4773
0.53378,9.4773
0.53436,9.4773
0.53494,9.4773
0.53551,9.4773
0.53609,9.4773
0.53667,9.4773
0.53725,9.4773
0.53782,9.4773
0.53840,9.4773
0.53898,9.4773
0.53956,9.4773
0.54013,9.4773
0.54071,9.4773
0.54129,9.4773
0.54187,9.4773
0.54244,9.4773
0.54302,9.4773
0.54360,9.4773
0.54418,9.4773
0.54475,9.4773
0.54533,9.4773
0.54591,9.4773
0.54649,9.4773
0.54706,9.4773
0.54764,9.4773
0.54822,9.4773
0.54880,9.4773
0.54937,9.4773
0.54995,9.4773
0.55053,9.4773
0.55111,9.4773
0.55168,9.4773
0.55226,9.4773
0.55284,9.4773
0.55342,9.4773
0.55399,9.4773
0.55457,9.4773
0.55515,9.4773
0.55573,9.4773
0.55630,9.4773
0.55688,9.4773
0.55746,9.4773
0.55803,9.4773
0.55861,9.4773
0.55919,9.4773
0.55977,9.4773
0.56034,9.4773
0.56092,9.4773
0.56150,9.4773
0.56208,9.4773
0.56265,9.4773
0.56323,9.4773
0.56381,9.4773
0.56439,9.4773
0.56496,9.4773
0.56554,9.4773
0.56612,9.4773
0.56670,9.4773
0.56727,9.4773
0.56785,9.4773
0.56843,9.4773
0.56901,9.4986
0.56958,9.4986
0.57016,9.4986
0.57074,9.4986
0.57132,9.4986
0.57189,9.4986
0.57247,9.4986
0.57305,9.4986
0.57363,9.4986
0.57420,9.4986
0.57478,9.4986
0.57536,9.4986
0.57594,9.5627
0.57651,9.5627
0.57709,9.5200
0.57767,9.5200
0.57825,9.4986
0.57882,9.4986
0.58056,9.6909
0.58113,9.6909
0.58171,9.6909
0.58229,9.6909
0.58287,9.6909
0.58344,9.6909
0.58402,9.6909
0.58460,9.6909
0.58518,9.6909
0.58575,9.6909
0.58633,9.6909
0.58691,9.6909
0.58749,9.6909
0.58806,9.6909
0.58864,9.6909
0.58922,9.6909
0.58980,9.6909
0.59037,9.6909
0.59095,9.6909
0.59153,9.6909
0.59211,9.6909
0.59268,9.6909
0.59326,9.6909
0.59384,9.6909
0.59441,9.6909
0.59499,9.6909
0.59557,9.6909
0.59615,9.6909
0.59672,9.4773
0.59730,9.4773
0.59788,9.4986
0.59846,9.4986
0.59903,9.5200
0.59961,9.5200
0.60019,9.5414
0.60077,9.5414
0.60134,9.5200
0.60192,9.5200
0.60250,9.4986
0.60308,9.4986
0.60365,9.5200
0.60423,9.5200
0.60481,9.5200
0.60539,9.5200
0.60596,9.5200
